name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Skanseparken,Park,Show all,Skanseparken is one of the oldest parks in the city of Aarhus. It is situated in the neighborhood of Frederiksbjerg in Midtbyen.,Both children and adults,Show all,Outdoor,Show all,10.206158851227592,56.14597495301759,"c(10.2061588512276, 56.1459749530176)"
Frederiksbjerg Bypark,Park,Show all,Park at Frederiksbjerg,Both children and adults,Show all,Outdoor,Show all,10.18928444792406,56.147386980787076,"c(10.1892844479241, 56.1473869807871)"
Skateboardpark,Sport and fitness,Show all,Skateboard park close to Brabrandstien,Both children and adults,Show all,Outdoor,Show all,10.177975314879204,56.14728322439201,"c(10.1779753148792, 56.147283224392)"
Havnerundfart - Aarhus Sail Event,?,Show all,"Aarhus Sail Event offers harbor tours of Aarhus Harbor and Bay. Aboard the ship M/S Helene, and experience and enjoy Aarhus from the water. See the new district of Aarhus Ø and listen to the interesting and fun stories that guides form Aarhus Sail Event add to the tour along the way.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.214488833622443,56.15666200315953,"c(10.2144888336224, 56.1566620031595)"
Sportspladsen Havnefronten,Sport and fitness,Show all,"At Sportspladsen Havnefronten you can play basket, football or the like. The place offers a great sea view and sports activities.",Both children and adults,Show all,Outdoor,Show all,10.213997055003498,56.15744333313172,"c(10.2139970550035, 56.1574433331317)"
Slagtehal 3,Cinema,Show all,An underground cinema and cafe,Adults,Show all,Indoor,Show all,10.212880600020101,56.16002892736784,"c(10.2128806000201, 56.1600289273678)"
CinemaxX,Cinema,Show all,CinemaxX in Aarhus is located in Bruuns Galleri and offers both 3D and IMAX cinema halls.,Both children and adults,Show all,Indoor,Show all,10.203861884423869,56.15066835277434,"c(10.2038618844239, 56.1506683527743)"
Nordisk Film Biografer Aarhus C,Cinema,Show all,Movie theatre at Aarhus C.,Both children and adults,Show all,Indoor,Show all,10.205950204877794,56.15158649549781,"c(10.2059502048778, 56.1515864954978)"
Det Kgl. Bibliotek,Library,Show all,The State and University Library is a national library and the university library of Aarhus University. ,Both children and adults,Show all,Indoor,Show all,10.199256149280348,56.17105327231762,"c(10.1992561492803, 56.1710532723176)"
Escape Factory,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.21317974232884,56.16049456698617,"c(10.2131797423288, 56.1604945669862)"
Brain Escape,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.211974337533318,56.15912412521492,"c(10.2119743375333, 56.1591241252149)"
Urban Escape game,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.208062150699702,56.15840882824942,"c(10.2080621506997, 56.1584088282494)"
Urban Escape game,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.202701861793145,56.15176769103704,"c(10.2027018617931, 56.151767691037)"
Escape Tour,Entertainment,Show all,Uban escape game where the puzzle/game to be solved is located at several sites around Aarhus.,Adults,Show all,Outdoor,Show all,10.201710886906046,56.15183077303507,"c(10.201710886906, 56.1518307730351)"
Escapist,Entertainment,Show all,Escape room with several different rooms and games.,Adults,Show all,Indoor,Show all,10.202383500932736,56.159543753237855,"c(10.2023835009327, 56.1595437532379)"
Ekkodalen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.180955366512448,56.172633086926226,"c(10.1809553665124, 56.1726330869262)"
Falkevej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.179609359725212,56.16857286886406,"c(10.1796093597252, 56.1685728688641)"
Klokkerparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.157108817247403,56.16156005465221,"c(10.1571088172474, 56.1615600546522)"
Marienlyst Park,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.159964134246358,56.18147198724188,"c(10.1599641342464, 56.1814719872419)"
Præstevangen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.168303748993846,56.16408477829998,"c(10.1683037489938, 56.1640847783)"
Byvangen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.170669885516245,56.13048488819699,"c(10.1706698855162, 56.130484888197)"
Stautrup,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.121942549874332,56.12994781946959,"c(10.1219425498743, 56.1299478194696)"
Vårkær Park,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.147820017872512,56.12580870556144,"c(10.1478200178725, 56.1258087055614)"
Shelter i Stavtrup,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.113787000000066,56.14017099999978,"c(10.1137870000001, 56.1401709999998)"
Fitnessplads Bøgelund Idrætsanlæg ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.129276080000068,56.11943195999977,"c(10.1292760800001, 56.1194319599998)"
Fitnessplads Bygvangs Alle ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.170621000000084,56.13052598999977,"c(10.1706210000001, 56.1305259899998)"
Fitnessplads Stautrup Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.118841120000067,56.13948602999977,"c(10.1188411200001, 56.1394860299998)"
Fitnessplads Vårkærparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.148312160000076,56.12574095999978,"c(10.1483121600001, 56.1257409599998)"
Fitnesspark ved Bøgeskov Idrætsanlæg,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.127205000000071,56.11940799999978,"c(10.1272050000001, 56.1194079999998)"
Fitnessplads Eskelunden,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.158991501639035,56.138138062151846,"c(10.158991501639, 56.1381380621518)"
Træklatring i Høskoven,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.136368274127355,56.13145192305166,"c(10.1363682741274, 56.1314519230517)"
Klokkeskoven,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.117456975771388,56.13451479847843,"c(10.1174569757714, 56.1345147984784)"
Stautrup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.11434150379495,56.14209713145415,"c(10.114341503795, 56.1420971314542)"
Viby Høskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.143730399698809,56.13218584575908,"c(10.1437303996988, 56.1321858457591)"
Beringsminde,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.120966279169116,56.160457645876754,"c(10.1209662791691, 56.1604576458768)"
Skjoldhøjkilen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.134365476010935,56.169169542644575,"c(10.1343654760109, 56.1691695426446)"
Søparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.107337696771898,56.15145090121184,"c(10.1073376967719, 56.1514509012118)"
Madpakkehus Alfa i Skjoldhøjkilen,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.133973000000072,56.169204029999776,"c(10.1339730000001, 56.1692040299998)"
Madpakkehus Gamma i Skjoldhøjkilen,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.124992080000068,56.169993959999765,"c(10.1249920800001, 56.1699939599998)"
Shelter ved Lyngbygårdsvej,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.05524100000005,56.17795699999978,"c(10.0552410000001, 56.1779569999998)"
Fitnessplads Skjoldhøjkilen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.131504120000068,56.16797795999977,"c(10.1315041200001, 56.1679779599998)"
Fitnessplads Brabrandstien ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.117077120000067,56.14872299999976,"c(10.1170771200001, 56.1487229999998)"
Bålplads i Skjoldhøjkilen,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.13095116000007,56.16818000999976,"c(10.1309511600001, 56.1681800099998)"
Brabrand Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.127679425907514,56.15121971069004,"c(10.1276794259075, 56.15121971069)"
Årslev Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.080569236294243,56.15120225937213,"c(10.0805692362942, 56.1512022593721)"
Gjellerup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.141164645309535,56.15083575225396,"c(10.1411646453095, 56.150835752254)"
